departure_hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
5,74.03484698554198,65.9280502043199,65.5008628318584,60.95909859124002,56.1244794765078,,99.34375
6,82.21725564205929,79.91844035402812,72.78775499424471,73.3950930521685,73.24159156648263,81.20405717950183,63.09635050918307
7,92.32619094999949,84.82407791957894,82.06191395029535,82.23230375976516,73.55962173703419,82.18123098194728,71.21842652600738
8,93.36022252477152,88.06614680168629,84.77594657703317,83.9805476976166,88.72038563819284,87.57372432721428,80.47949203041333
9,81.33361526166316,78.4102928147302,77.80962726712994,76.44878903340464,74.82857044992178,75.21322588213593,75.48707208546912
10,87.27372829870173,85.06408540989575,86.05037481099836,85.79646102036895,82.94084424152933,82.40218251572772,92.67325432742737
11,97.3217358637051,83.77212815985422,90.71729671227871,75.73949510154162,87.4823657185489,85.24281508229915,98.74137532057294
12,97.26622916597394,83.46942072874565,88.62480832392076,83.44245986712168,95.36483132504435,85.51551525199451,96.29037595774973
13,88.83081598177196,81.02891998584319,82.59179219914469,70.44574020455569,91.87065406579642,87.68503708922808,95.52075284009597
14,85.10118576875198,77.29707661540566,82.49081743882611,75.66724202252517,92.54793307011238,78.7185659091552,99.68211755409563
15,89.96415134827136,85.3797068255032,90.84851037351454,82.12495212755354,109.26286724797029,78.003807206786,98.70662863426531
16,90.99762107799356,100.92910720725452,95.05270357041714,98.01517103718763,111.11252913259251,84.67176553372629,99.29668475628243
17,97.18382407633844,87.28275541074035,94.29655645893466,90.44933639409955,105.49240570364955,80.10978890391183,107.19508797704715
18,88.563676955926,101.84163514112316,97.35575350189885,97.74182512287857,101.30970653525928,79.37335150031727,109.33676889978015
19,79.11446961659375,79.76979444516193,87.41627066317209,87.22080050417351,98.78354870205519,72.6427386175066,102.84174759871114
20,65.75099211938998,68.0163245066971,69.36812132441206,76.33560405290304,83.6257248864013,76.70996553023917,100.14938163449746
21,57.10306358719469,56.732252821435615,62.91886833467352,68.37911034864682,76.50104064063815,58.21540858522287,83.89733400441212
